"Access Restrictions","Access Restrictions"
"Access Restrictions Section","Access Restrictions Section"
"Action","Action"
"Add Rule","Add Rule"
"Controller","Controller"
"Enable Access Restrictions","Enable Access Restrictions"
"Module","Module"
"Restriction Rules","Restriction Rules"
"Shopigo Extensions","Shopigo Extensions"
"Use wildcard '*' to specify any controller or action.","Use wildcard '*' to specify any controller or action."
